0;t_default;P_default;t_cwm;P_cwm
;0.0;0.0;0.0;0.0
;6.854056688529453e-11;0.0;6.854056688529453e-11;0.0
;1.370811333369082e-10;0.0;1.370811333369082e-10;0.0
;2.0562170022220272e-10;0.0;2.0562170022220272e-10;0.0
;2.741622666738164e-10;0.0;2.741622666738164e-10;0.0
;3.427028335591109e-10;0.0;3.427028335591109e-10;0.0
;4.1124340001072457e-10;0.0;4.1124340001072457e-10;0.0
;4.797839668960191e-10;0.0;4.797839668960191e-10;0.0
;5.483245333476328e-10;0.0;5.483245333476328e-10;0.0
;6.168651002329273e-10;0.0;6.168651002329273e-10;0.0
;6.854056671182218e-10;0.0;6.854056671182218e-10;0.0
;7.539462335698355e-10;0.0;7.539462335698355e-10;0.0
;8.2248680045513e-10;0.0;8.2248680045513e-10;0.0
;8.910273669067437e-10;0.0;8.910273669067437e-10;0.0
;9.595679337920382e-10;0.0;9.595679337920382e-10;0.0
;1.0281085002436519e-09;0.0;1.0281085002436519e-09;0.0
;1.0966490671289464e-09;0.0;1.0966490671289464e-09;0.0
;1.16518963358056e-09;0.0;1.16518963358056e-09;0.0
;1.2337302004658546e-09;0.0;1.2337302004658546e-09;0.0
;1.3022707669174682e-09;0.0;1.3022707669174682e-09;0.0
;1.3708113338027628e-09;0.0;1.3708113338027628e-09;0.0
;1.4393519006880573e-09;0.0;1.4393519006880573e-09;0.0
;1.507892467139671e-09;0.0;1.507892467139671e-09;0.0
;1.5764330340249655e-09;0.0;1.5764330340249655e-09;0.0
;1.6449736004765791e-09;0.0;1.6449736004765791e-09;0.0
;1.7135141673618737e-09;0.0;1.7135141673618737e-09;0.0
;1.7820547338134873e-09;0.0;1.7820547338134873e-09;0.0
;1.8505953006987819e-09;0.0;1.8505953006987819e-09;0.0
;1.9191358671503955e-09;0.0;1.9191358671503955e-09;0.0
;1.98767643403569e-09;0.0;1.98767643403569e-09;0.0
;2.0562170009209846e-09;0.0;2.0562170009209846e-09;0.0
;2.1247575673725982e-09;0.0;2.1247575673725982e-09;0.0
;2.1932981342578928e-09;0.0;2.1932981342578928e-09;0.0
;2.2618387007095064e-09;0.0;2.2618387007095064e-09;0.0
;2.330379267594801e-09;0.0;2.330379267594801e-09;0.0
;2.3989198340464146e-09;0.0;2.3989198340464146e-09;0.0
;2.467460400931709e-09;0.0;2.467460400931709e-09;0.0
;2.536000967383323e-09;0.0;2.536000967383323e-09;0.0
;2.6045415342686173e-09;0.0;2.6045415342686173e-09;0.0
;2.673082101153912e-09;0.0;2.673082101153912e-09;0.0
;2.7416226676055255e-09;0.0;2.7416226676055255e-09;0.0
;2.81016323449082e-09;0.0;2.81016323449082e-09;0.0
;2.8787038009424337e-09;0.0;2.8787038009424337e-09;0.0
;2.9472443678277283e-09;0.0;2.9472443678277283e-09;0.0
;3.015784934279342e-09;0.0;3.015784934279342e-09;0.0
;3.0843255011646364e-09;0.0;3.0843255011646364e-09;0.0
;3.15286606761625e-09;0.0;3.15286606761625e-09;0.0
;3.2214066345015446e-09;0.0;3.2214066345015446e-09;0.0
;3.2899472009531583e-09;0.0;3.2899472009531583e-09;0.0
;3.358487767838453e-09;0.0;3.358487767838453e-09;0.0
;3.4270283347237473e-09;0.0;3.4270283347237473e-09;0.0
;3.495568901175361e-09;0.0;3.495568901175361e-09;0.0
;3.5641094680606555e-09;0.0;3.5641094680606555e-09;0.0
;3.632650034512269e-09;0.0;3.632650034512269e-09;0.0
;3.7011906013975637e-09;0.0;3.7011906013975637e-09;0.0
;3.769731167849177e-09;0.0;3.769731167849177e-09;0.0
;3.838271734734472e-09;0.0;3.838271734734472e-09;0.0
;3.9068123011860856e-09;0.0;3.9068123011860856e-09;0.0
;3.97535286807138e-09;0.0;3.97535286807138e-09;0.0
;4.043893434956675e-09;0.0;4.043893434956675e-09;0.0
;4.112434001408288e-09;0.0;4.112434001408288e-09;0.0
;4.180974568293583e-09;0.0;4.180974568293583e-09;0.0
;4.2495151347451965e-09;0.0;4.2495151347451965e-09;0.0
;4.318055701630491e-09;0.0;4.318055701630491e-09;0.0
;4.386596268082105e-09;0.0;4.386596268082105e-09;0.0
;4.455136834967399e-09;0.0;4.455136834967399e-09;0.0
;4.523677401419013e-09;0.0;4.523677401419013e-09;0.0
